"Occupation, 1950 basis",Single words,year,gender,prestige,education,income,moral,evaluation,potency,activity
Dyers,dyer,1900,-0.13849514547117295,0.21168877557076227,0.07701578611494952,0.12306500173307895,0.1436639073994611,0.1732749109537893,0.1300229859920169,-0.018245264512697916
Bakers,baker,1900,-0.01559090473181907,-0.029608778212338684,0.07497372778005809,-0.15861115114037538,-0.005991463777831482,0.002177069967268401,0.051593065679486814,0.107472722525613
Inmate,inmate,1900,0.024853676818860526,0.06949213408829558,-0.037365774077895354,-0.035415867629124374,-0.01114428348137085,0.060895099520006386,-0.023391853378877298,-0.06839225887680998
Sawyers,"lumberjack, sawyer",1900,0.055379813440034134,-0.05112819924778801,0.09319632437608816,-0.16884761899332631,-0.09010319066878192,-0.03661564777018736,-0.06134563885732633,0.04538444240351607
Retired,retired,1900,-0.11757722693900219,0.11086667458382976,0.1533647305251672,0.01217626449463884,0.12084343866778231,0.14512462878107554,0.008005163991388856,-0.09451034156395986
Porters,porter,1900,-0.07450449276054055,0.08412592235733914,0.07126256474467578,-0.0698646845907163,0.012391112503898337,0.044627781335624526,-0.01594372137561702,0.09132829546075727
Authors,author,1900,-0.03245992659552377,0.03557750118779973,-0.06934846526985011,-0.0064525012705379525,0.06418516681378568,0.06556120234277418,0.05857887149119524,-0.020476193529110943
Cashiers,cashier,1900,-0.16323522531713086,0.06349745748488574,0.07247046414660765,-0.03229745032845785,-0.043887210679710284,0.043654751811586956,0.011336572011835667,-0.02302931309770577
Newsboys,"deliverer, carrier",1900,-0.07828473897908493,0.008914301192027439,-0.033610619673249326,-0.04889325634969851,-0.030909165451743548,-0.01296901879005852,0.0013207836659467273,0.005722728815854249
Chemists,chemist,1900,-0.1115222074458465,0.10219955028864644,-0.017417487099640673,-0.05290745351267748,0.039680478057517,0.0006643065781557905,0.08828965606395284,-0.06662667235222756
Dentists,"technician, dentist, professional",1900,-0.04180700133655641,0.05862678011386389,-0.00018489877551879086,-0.04424477995346497,7.077499161702548e-05,0.022075009823661396,0.03727563522714785,0.018056254818821345
Glaziers,glazier,1900,,,,,,,,
Furriers,furrier,1900,,,,,,,,
Athletes,athlete,1900,-0.05578534565104862,0.031122375746194732,-0.0497900509113588,0.04834185314861027,0.08050714219007557,0.07890224166849213,0.08806826960928674,0.05392579688761768
Midwives,midwife,1900,,,,,,,,
Draftsmen,"draftsperson, sketcher, delineator",1900,,,,,,,,
