"code","occupation_single","occupation_origin","category"
0,"accountant, auditor","Accountants and auditors","Professional, Technical"
0,"accountant, auditor","Accountants and auditors","Professional, Technical"
0,"accountant, auditor","Accountants and auditors","Professional, Technical"
0,"accountant, auditor","Accountants and auditors","Professional, Technical"
0,"accountant, auditor","Accountants and auditors","Professional, Technical"
0,"accountant, auditor","Accountants and auditors","Professional, Technical"
0,"accountant, auditor","Accountants and auditors","Professional, Technical"
0,"accountant, auditor","Accountants and auditors","Professional, Technical"
0,"accountant, auditor","Accountants and auditors","Professional, Technical"
0,"accountant, auditor","Accountants and auditors","Professional, Technical"
0,"accountant, auditor","Accountants and auditors","Professional, Technical"
0,"accountant, auditor","Accountants and auditors","Professional, Technical"
0,"accountant, auditor","Accountants and auditors","Professional, Technical"
0,"accountant, auditor","Accountants and auditors","Professional, Technical"
0,"accountant, auditor","Accountants and auditors","Professional, Technical"
0,"accountant, auditor","Accountants and auditors","Professional, Technical"
0,"accountant, auditor","Accountants and auditors","Professional, Technical"
0,"accountant, auditor","Accountants and auditors","Professional, Technical"
0,"accountant, auditor","Accountants and auditors","Professional, Technical"
0,"accountant, auditor","Accountants and auditors","Professional, Technical"
0,"accountant, auditor","Accountants and auditors","Professional, Technical"
0,"accountant, auditor","Accountants and auditors","Professional, Technical"
0,"accountant, auditor","Accountants and auditors","Professional, Technical"
0,"accountant, auditor","Accountants and auditors","Professional, Technical"
0,"accountant, auditor","Accountants and auditors","Professional, Technical"
2,"pilot, navigator","Airplane pilots and navigators","Professional, Technical"
2,"pilot, navigator","Airplane pilots and navigators","Professional, Technical"
2,"pilot, navigator","Airplane pilots and navigators","Professional, Technical"
2,"pilot, navigator","Airplane pilots and navigators","Professional, Technical"
2,"pilot, navigator","Airplane pilots and navigators","Professional, Technical"
2,"pilot, navigator","Airplane pilots and navigators","Professional, Technical"
2,"pilot, navigator","Airplane pilots and navigators","Professional, Technical"
2,"pilot, navigator","Airplane pilots and navigators","Professional, Technical"
2,"pilot, navigator","Airplane pilots and navigators","Professional, Technical"
2,"pilot, navigator","Airplane pilots and navigators","Professional, Technical"
2,"pilot, navigator","Airplane pilots and navigators","Professional, Technical"
2,"pilot, navigator","Airplane pilots and navigators","Professional, Technical"
2,"pilot, navigator","Airplane pilots and navigators","Professional, Technical"
2,"pilot, navigator","Airplane pilots and navigators","Professional, Technical"
2,"pilot, navigator","Airplane pilots and navigators","Professional, Technical"
2,"pilot, navigator","Airplane pilots and navigators","Professional, Technical"
2,"pilot, navigator","Airplane pilots and navigators","Professional, Technical"
2,"pilot, navigator","Airplane pilots and navigators","Professional, Technical"
2,"pilot, navigator","Airplane pilots and navigators","Professional, Technical"
2,"pilot, navigator","Airplane pilots and navigators","Professional, Technical"
2,"pilot, navigator","Airplane pilots and navigators","Professional, Technical"
2,"pilot, navigator","Airplane pilots and navigators","Professional, Technical"
2,"pilot, navigator","Airplane pilots and navigators","Professional, Technical"
2,"pilot, navigator","Airplane pilots and navigators","Professional, Technical"
2,"pilot, navigator","Airplane pilots and navigators","Professional, Technical"
3,"architect","Architects","Professional, Technical"
3,"architect","Architects","Professional, Technical"
3,"architect","Architects","Professional, Technical"
3,"architect","Architects","Professional, Technical"
3,"architect","Architects","Professional, Technical"
3,"architect","Architects","Professional, Technical"
3,"architect","Architects","Professional, Technical"
3,"architect","Architects","Professional, Technical"
3,"architect","Architects","Professional, Technical"
3,"architect","Architects","Professional, Technical"
3,"architect","Architects","Professional, Technical"
3,"architect","Architects","Professional, Technical"
3,"architect","Architects","Professional, Technical"
3,"architect","Architects","Professional, Technical"
3,"architect","Architects","Professional, Technical"
3,"architect","Architects","Professional, Technical"
3,"architect","Architects","Professional, Technical"
3,"architect","Architects","Professional, Technical"
3,"architect","Architects","Professional, Technical"
3,"architect","Architects","Professional, Technical"
3,"architect","Architects","Professional, Technical"
3,"architect","Architects","Professional, Technical"
3,"architect","Architects","Professional, Technical"
3,"architect","Architects","Professional, Technical"
3,"architect","Architects","Professional, Technical"
4,"artist, teacher","Artists and art teachers","Professional, Technical"
4,"artist, teacher","Artists and art teachers","Professional, Technical"
4,"artist, teacher","Artists and art teachers","Professional, Technical"
4,"artist, teacher","Artists and art teachers","Professional, Technical"
4,"artist, teacher","Artists and art teachers","Professional, Technical"
4,"artist, teacher","Artists and art teachers","Professional, Technical"
4,"artist, teacher","Artists and art teachers","Professional, Technical"
4,"artist, teacher","Artists and art teachers","Professional, Technical"
4,"artist, teacher","Artists and art teachers","Professional, Technical"
4,"artist, teacher","Artists and art teachers","Professional, Technical"
4,"artist, teacher","Artists and art teachers","Professional, Technical"
4,"artist, teacher","Artists and art teachers","Professional, Technical"
4,"artist, teacher","Artists and art teachers","Professional, Technical"
4,"artist, teacher","Artists and art teachers","Professional, Technical"
4,"artist, teacher","Artists and art teachers","Professional, Technical"
4,"artist, teacher","Artists and art teachers","Professional, Technical"
4,"artist, teacher","Artists and art teachers","Professional, Technical"
4,"artist, teacher","Artists and art teachers","Professional, Technical"
4,"artist, teacher","Artists and art teachers","Professional, Technical"
4,"artist, teacher","Artists and art teachers","Professional, Technical"
4,"artist, teacher","Artists and art teachers","Professional, Technical"
4,"artist, teacher","Artists and art teachers","Professional, Technical"
4,"artist, teacher","Artists and art teachers","Professional, Technical"
4,"artist, teacher","Artists and art teachers","Professional, Technical"
4,"artist, teacher","Artists and art teachers","Professional, Technical"
5,"athlete","Athletes","Professional, Technical"
5,"athlete","Athletes","Professional, Technical"
5,"athlete","Athletes","Professional, Technical"
5,"athlete","Athletes","Professional, Technical"
5,"athlete","Athletes","Professional, Technical"
5,"athlete","Athletes","Professional, Technical"
5,"athlete","Athletes","Professional, Technical"
5,"athlete","Athletes","Professional, Technical"
5,"athlete","Athletes","Professional, Technical"
5,"athlete","Athletes","Professional, Technical"
5,"athlete","Athletes","Professional, Technical"
5,"athlete","Athletes","Professional, Technical"
5,"athlete","Athletes","Professional, Technical"
5,"athlete","Athletes","Professional, Technical"
5,"athlete","Athletes","Professional, Technical"
5,"athlete","Athletes","Professional, Technical"
5,"athlete","Athletes","Professional, Technical"
5,"athlete","Athletes","Professional, Technical"
5,"athlete","Athletes","Professional, Technical"
5,"athlete","Athletes","Professional, Technical"
5,"athlete","Athletes","Professional, Technical"
5,"athlete","Athletes","Professional, Technical"
5,"athlete","Athletes","Professional, Technical"
5,"athlete","Athletes","Professional, Technical"
5,"athlete","Athletes","Professional, Technical"
6,"author","Authors","Professional, Technical"
6,"author","Authors","Professional, Technical"
6,"author","Authors","Professional, Technical"
